Date,"Total Users","Full Members",Guests,"Daily Active Users","Daily Users Posting Messages","Weekly Active Users","Weekly Users Posting Messages","Messages in Public Channels","Messages in Private Channels","Messages in Shared Channels","Messages in DMs","% of Messages Posted in Public Channels","% of Messages Posted in Private Channels","% of Messages Posted in DMs","% of Messages Read in Public Channels","% of Messages Read in Private Channels","% of Messages Read in DMs",Name,"Public Workspace Channels","Messages Posted"
2017-01-13,7,7,0,6,6,6,6,7,0,0,25,0.2188,0,0.7813,0.5882,0,0.4118,0,5,87
2017-01-14,7,7,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,5,87
2017-01-15,7,7,0,1,0,6,6,0,0,0,0,0,0,0,1,0,0,0,5,87
2017-01-16,13,13,0,12,10,13,12,15,0,0,137,0.0987,0,0.9013,0.3131,0,0.6869,0,6,298
2017-01-17,13,13,0,8,5,13,12,3,0,0,38,0.0732,0,0.9268,0.2727,0,0.7273,0,6,347
2017-01-18,14,14,0,11,7,14,14,22,0,0,59,0.2716,0,0.7284,0.5217,0,0.4783,0,8,447
2017-01-19,14,14,0,8,6,14,14,13,0,0,7,0.65,0,0.35,0.863,0,0.137,0,8,475
2017-01-20,14,14,0,11,8,13,13,15,0,0,114,0.1163,0,0.8837,0.2922,0,0.7078,0,8,607
2017-01-21,14,14,0,2,0,13,13,0,0,0,0,0,0,0,1,0,0,0,8,607
2017-01-22,14,14,0,1,2,13,13,0,0,0,2,0,0,1,0.5,0,0.5,0,8,609
2017-01-23,14,14,0,8,5,12,12,3,0,0,23,0.1154,0,0.8846,0.4,0,0.6,0,8,635
2017-01-24,14,14,0,10,8,13,13,16,0,0,84,0.16,0,0.84,0.4274,0,0.5726,0,8,739
2017-01-25,14,14,0,12,9,13,13,26,0,0,14,0.65,0,0.35,0.8322,0,0.1678,0,8,781
2017-01-26,14,14,0,11,8,13,13,14,0,0,31,0.3111,0,0.6889,0.5678,0,0.4322,0,8,818
2017-01-27,14,14,0,11,7,13,13,2,0,0,12,0.1429,0,0.8571,0.614,0,0.386,0,8,838
2017-01-28,14,14,0,4,3,13,13,2,0,0,16,0.1111,0,0.8889,0.1875,0,0.8125,0,8,856
